town,county,office,district,party,candidate,winner,votes
Albany,Carroll,Executive Council,1,D,Beth Funicella,True,41
Alexandria,Grafton,Executive Council,1,D,Beth Funicella,True,83
Alton,Belknap,Executive Council,1,D,Beth Funicella,True,193
Andover,Merrimack,Executive Council,1,D,Beth Funicella,True,209
Ashland,Grafton,Executive Council,1,D,Beth Funicella,True,96
At. & Gil. Academy Grant,Coos,Executive Council,1,D,Beth Funicella,True,0
Bartlett,Carroll,Executive Council,1,D,Beth Funicella,True,206
Bath,Grafton,Executive Council,1,D,Beth Funicella,True,21
Bean's Grant,Coos,Executive Council,1,D,Beth Funicella,True,0
Bean's Purchase,Coos,Executive Council,1,D,Beth Funicella,True,0
Benton,Grafton,Executive Council,1,D,Beth Funicella,True,8
Berlin,Coos,Executive Council,1,D,Beth Funicella,True,706
Bethlehem,Grafton,Executive Council,1,D,Beth Funicella,True,93
Bridgewater,Grafton,Executive Council,1,D,Beth Funicella,True,71
Bristol,Grafton,Executive Council,1,D,Beth Funicella,True,144
Brookfield,Carroll,Executive Council,1,D,Beth Funicella,True,52
Cambridge,Coos,Executive Council,1,D,Beth Funicella,True,1
Campton,Grafton,Executive Council,1,D,Beth Funicella,True,158
Canaan,Grafton,Executive Council,1,D,Beth Funicella,True,192
Carroll,Coos,Executive Council,1,D,Beth Funicella,True,51
Center Harbor,Belknap,Executive Council,1,D,Beth Funicella,True,63
Chandler's Purchase,Coos,Executive Council,1,D,Beth Funicella,True,0
Chatham,Carroll,Executive Council,1,D,Beth Funicella,True,16
Claremont,Sullivan,Executive Council,1,D,Beth Funicella,True,541
Clarksville,Coos,Executive Council,1,D,Beth Funicella,True,14
Colebrook,Coos,Executive Council,1,D,Beth Funicella,True,68
Columbia,Coos,Executive Council,1,D,Beth Funicella,True,16
Conway,Carroll,Executive Council,1,D,Beth Funicella,True,493
Cornish,Sullivan,Executive Council,1,D,Beth Funicella,True,143
Crawford's Purchase,Coos,Executive Council,1,D,Beth Funicella,True,0
Croydon,Sullivan,Executive Council,1,D,Beth Funicella,True,22
Cutt's Grant,Coos,Executive Council,1,D,Beth Funicella,True,0
Dalton,Coos,Executive Council,1,D,Beth Funicella,True,27
